@relation flowClassify

@attribute srcIp numeric
@attribute dstIp numeric
@attribute srcPort numeric
@attribute dstPort numeric
@attribute protocol numeric
@attribute serverOrClient numeric
@attribute packetSize numeric
@attribute class {Elephant, Mouse}

@data

% instances: 7168

1151072380,1084218628,9,232,6,2,4344,Mouse
273521666,1084218649,9,161,6,2,120,Mouse
276737012,1084218860,9,352,6,2,4380,Mouse
273521669,1084218758,9,776,6,2,120,Mouse
273521666,1084218649,9,162,6,2,120,Mouse
273521669,1084218758,9,777,6,2,177,Mouse
1150616096,1084218866,616,1304,6,1,1460,Mouse
273521669,1084218758,9,774,6,2,120,Mouse
276693121,1084218850,9,58,17,0,99,Mouse
273521669,1084218758,9,775,6,2,120,Mouse
273521669,1084218758,9,773,6,2,120,Mouse
159647353,1084218644,9,317,6,2,4380,Mouse
271147829,1084218787,9,401,6,2,623,Mouse
271147829,1084218787,9,400,6,2,623,Mouse
1844015076,1844015023,74,73,17,0,348,Mouse
1844015073,1084218848,74,634,17,0,116,Mouse
271147829,1084218787,9,409,6,2,3063,Mouse
93180734,1084218787,2038,740,6,2,58,Mouse
1150616096,1084218866,616,1301,6,1,3897,Mouse
271147829,1084218787,9,408,6,2,432,Mouse
276693121,1084218850,9,53,17,0,99,Mouse
1084219134,1084218868,25,26,17,0,650,Mouse
273521666,1084218630,9,77,6,2,120,Mouse
425921382,1084218760,9,36,6,2,1157,Mouse
1084220398,1084218814,9,128,17,0,158,Mouse
1084220398,1084218814,9,129,17,0,169,Mouse
425921382,1084218760,9,37,6,2,120,Mouse
1084220398,1084218860,9,150,17,0,160,Mouse
1119401885,1084218628,2162,60,6,2,4344,Mouse
1084220398,1084218814,9,122,17,0,104,Mouse
271147829,1084218787,9,414,6,2,910,Mouse
271147829,1084218787,9,413,6,2,623,Mouse
1843964742,1084218625,74,667,17,0,116,Mouse
276693121,1084218850,9,67,17,0,99,Mouse
1084220398,1084218814,9,121,17,0,84,Mouse
1844014989,1084218776,74,372,17,0,232,Mouse
1844014987,1084218827,74,329,17,0,116,Mouse
1150344045,1844015055,156,7,17,0,114,Mouse
1150344045,1844015055,289,7,17,0,120,Mouse
1844015056,1084218636,74,167,17,0,116,Mouse
1844015080,1084218634,74,129,17,0,348,Mouse
1150322468,1844015023,9,200,17,0,211,Mouse
1150322468,1844015023,9,201,17,0,180,Mouse
1084220398,1084218771,9,599,17,0,204,Mouse
425921382,1084218760,9,46,6,2,120,Mouse
425921382,1084218760,9,43,6,2,120,Mouse
44401819,1084218848,9,1535,6,1,3154,Mouse
271147829,1084218787,9,427,6,2,623,Mouse
273521666,1084218630,9,49,6,2,120,Mouse
425921382,1084218760,9,42,6,2,120,Mouse
271147829,1084218787,9,426,6,2,623,Mouse
425921382,1084218760,9,45,6,2,178,Mouse
271147829,1084218787,9,425,6,2,623,Mouse
273521666,1084218649,9,138,6,2,3346,Mouse
1762140674,1084218827,97,434,6,2,1598,Mouse
271147829,1084218787,9,429,6,2,623,Mouse
273521666,1084218630,9,40,6,2,120,Mouse
273521666,1084218630,9,41,6,2,120,Mouse
273521669,1084218758,9,766,6,2,120,Mouse
44401819,1084218848,9,1520,6,1,495,Mouse
1844015098,1084218848,74,766,17,0,348,Mouse
44401819,1084218848,9,1521,6,1,495,Mouse
1844015075,1084218634,74,129,17,0,348,Mouse
1844014938,1084218848,74,690,17,0,348,Mouse
1844015075,1118943492,74,522,17,0,116,Mouse
273521669,1084218758,9,769,6,2,120,Mouse
1083314636,1084218760,9,579,6,2,1229,Mouse
425921382,1084218760,9,54,6,2,120,Mouse
44401819,1084218848,9,1522,6,1,496,Mouse
1083314636,1084218760,9,583,6,2,3508,Mouse
44401819,1084218848,9,1523,6,1,498,Mouse
1083314636,1084218760,9,582,6,2,3508,Mouse
1084218770,1084169425,17,17,17,0,150,Mouse
273521666,1084218649,9,126,6,2,120,Mouse
273521666,1084218630,9,50,6,2,120,Mouse
273521666,1084218630,9,51,6,2,120,Mouse
151703685,1084218654,9,442,6,2,4380,Mouse
151703685,1084218654,9,445,6,2,4380,Mouse
151703685,1084218654,9,448,6,2,4380,Mouse
368587859,1084218844,97,162,6,2,1498,Mouse
151703685,1084218654,9,449,6,2,4380,Mouse
1150344045,1844015049,360,7,17,0,114,Mouse
159647353,1084218644,9,355,6,2,4105,Mouse
480358455,1084218853,9,1112,6,1,140,Mouse
480358455,1084218853,9,1113,6,1,140,Mouse
368587859,1084218844,97,161,6,2,523,Mouse
480358455,1084218853,9,1110,6,1,140,Mouse
480358455,1084218853,9,1111,6,1,140,Mouse
480358455,1084218853,9,1116,6,1,140,Mouse
1150616096,1084218866,616,1344,6,1,3,Mouse
480358455,1084218853,9,1117,6,1,140,Mouse
1084220398,1084218814,9,153,17,0,201,Mouse
480358455,1084218853,9,1114,6,1,4380,Mouse
1150616096,1084218866,616,1342,6,1,2912,Mouse
1150322468,1084218816,9,606,17,0,191,Mouse
480358455,1084218853,9,1115,6,1,140,Mouse
1150616096,1084218866,616,1343,6,1,4372,Mouse
1150616096,1084218866,616,1340,6,1,1452,Mouse
1150344045,1844015054,786,7,17,0,120,Mouse
1150616096,1084218866,616,1341,6,1,2913,Mouse
1844015086,1763102082,74,457,17,0,116,Mouse
273521666,1084218630,9,21,6,2,120,Mouse
480358455,1084218853,9,1119,6,1,140,Mouse
1844015080,1084218848,74,766,17,0,232,Mouse
1150616096,1084218866,616,1339,6,1,1452,Mouse
1150616096,1084218866,616,1337,6,1,1452,Mouse
1150616096,1084218866,616,1338,6,1,1452,Mouse
281689297,1084218816,9,755,6,2,2524,Mouse
281689297,1084218816,9,756,6,2,3294,Mouse
1150616096,1084218866,616,1336,6,1,1452,Mouse
1101364849,1084218773,3,86,6,2,1,Mouse
159647353,1084218644,9,349,6,2,4380,Mouse
1844015079,1084218636,74,153,17,0,116,Mouse
3681200522,1084218872,9,126,6,2,524,Mouse
273521666,1084218630,9,34,6,2,4380,Mouse
3681200522,1084218872,9,118,6,2,524,Mouse
480358455,1084218853,9,1101,6,1,140,Mouse
480358455,1084218853,9,1102,6,1,140,Mouse
273521666,1084218630,9,39,6,2,3705,Mouse
480358455,1084218853,9,1100,6,1,140,Mouse
480358455,1084218853,9,1105,6,1,140,Mouse
1150616096,1084218866,616,1334,6,1,2912,Mouse
480358455,1084218853,9,1103,6,1,140,Mouse
1150616096,1084218866,616,1331,6,1,4372,Mouse
480358455,1084218853,9,1104,6,1,140,Mouse
1150616096,1084218866,616,1332,6,1,1452,Mouse
1795051298,1084218781,18,467,6,2,25,Mouse
1150344045,1844015054,654,7,17,0,114,Mouse
480358455,1084218853,9,1109,6,1,140,Mouse
480358455,1084218853,9,1108,6,1,1460,Mouse
1150322468,1084218816,9,630,17,0,90,Mouse
1150322468,1084218816,9,632,17,0,185,Mouse
1150616096,1084218866,616,1326,6,1,2949,Mouse
1150616096,1084218866,616,1327,6,1,4371,Mouse
3681200522,1084218872,9,138,6,2,524,Mouse
425921382,1084218860,9,188,6,2,120,Mouse
1150344045,1844015049,38,7,17,0,120,Mouse
480358455,1084218853,9,1130,6,1,2920,Mouse
3681200522,1084218872,9,129,6,2,524,Mouse
1844014938,1084218848,74,634,17,0,232,Mouse
